ID,Tipo,SKU,Nome,Status,Entrada,Saída,Custo compra,Valor venda,Margem de lucro,Quantidade,Tag,Tamanho,Cor,Categoria,
110,saia,BS-CA-AM-110-unico,saia forrada elastico,EM ESTOQUE,13/09/25,,"R$ 50,00","R$ 135,90","171,80%",2,,unico,amarela/verde,Casual,vendido verde
111,conjunto,BS-SO-PR-111-p/m/g,conjunto calça/colete,EM ESTOQUE,13/09/25,,"R$ 65,00","R$ 179,99","176,91%",3,,p/m/g,preto/verde/amarelo,Social,
112,blusa,BS-CA-PR-112-g3,blusa cigana plus size,EM ESTOQUE,13/09/25,,"R$ 22,00","R$ 89,99","309,05%",3,,g3,preto/marrom/verde,Casual,
113,shorts,BS-SO-MA-113-g1/g2/g3,shorts alfaitaria plus size,EM ESTOQUE,13/09/25,,"R$ 40,00","R$ 79,90","99,75%",3,,g1/g2/g3,marrom/terrracota/verde,Social,
114,vestido,BS-CA-FL-114-unico,vestido de alça com estampa floral,EM ESTOQUE,13/09/25,,"R$ 65,00","R$ 145,90","124,46%",2,,unico,floral,Casual,
115,vestido,BS-CA-AZ-115-g4,Vestido Longo de Alças largas & Plus Size,EM ESTOQUE,17/09/25,,"R$ 85,00","R$ 179,90","111,65%",3,,g4,azul/salmão/verde,Casual,
116,vestido,BS-CA-RO-116-g,Vestido Longo Alça de Babado,EM ESTOQUE,17/09/25,,"R$ 70,00","R$ 159,90","128,43%",2,,g,rosa,Casual,
117,vestido,BS-CA-PE-117-g,Vestido longo Alça larga com Cinto,EM ESTOQUE,17/09/25,,"R$ 70,00","R$ 159,90","128,43%",2,,g,pessego/ verde lima,Casual,
118,t-shirt,BS-CA-PR-118-g2,T-shirt Baby Look Amazonica & Plus Size,EM ESTOQUE,18/09/25,,"R$ 19,99","R$ 48,90","144,62%",2,,g2,preta,Casual,
119,t- shirt,BS-CA-OF-119-g2,T-shirt Baby Look  Flores  & Plus Size,EM ESTOQUE,18/09/25,,"R$ 19,99","R$ 59,90","199,65%",3,,g2,off white,Casual,
120,t-shirt,BS-CA-OF-120-M,T-shirt Oversizd Onça & Plus Size,EM ESTOQUE,18/09/25,,"R$ 27,99","R$ 59,90","114,01%",2,,M,off white,Casual,
121,t-shirt,BS-CA-OF-121-M,T-Shirt Manga Japonesa Bordado Cereja,EM ESTOQUE,18/09/25,,"R$ 22,99","R$ 48,90","112,70%",2,,M,off white,Casual,
122,t-shirt,BS-CA-OF-122-M,T-shirt Manga Japonesa Bordado Tropical,EM ESTOQUE,18/09/25,,"R$ 22,99","R$ 48,90","112,70%",2,,M,off white,Casual,
123,t-shirt,BS-CA-OF-123-M,T-shirt Manga Japonesa Tucano,EM ESTOQUE,18/09/25,,"R$ 22,99","R$ 48,90","112,70%",2,,M,off white,Casual,
124,t-shirt,BS-CA-OF-124-M,T-shirt Manga Japonesa Lemon,EM ESTOQUE,18/09/25,,"R$ 22,99","R$ 48,90","112,70%",2,,M,off white,Casual,
125,vestido,BS-CA-FL-125-unico,Vestido Estampa floral alça babado,EM ESTOQUE,04/10/25,,"R$ 65,00","R$ 155,90","139,85%",1,,unico,floral,Casual,
126,cinto,BS-CA-BE-126-slim,Cinto Fivela Moderna,EM ESTOQUE,31/10/25,,"R$ 3,33","R$ 12,00","260,36%",3,,slim,bege/preto/marrom,Casual,
127,conjunto,BS-CA-VE-127-plus size,Conjunto Crooped e Shorts Saia,EM ESTOQUE,13/11/25,,"R$ 40,81","R$ 90,00","120,53%",2,,plus size,vermelho/branco,Casual,
128,cojunto,BS-CA-VE-128-slim,Conjunto Crooped e Shorts Saia,EM ESTOQUE,13/11/25,,"R$ 40,81","R$ 90,00","120,53%",2,,slim,vermelho/branco,Casual,
,vestido,BS-CA-BR-00-slim,Vestido de Alça em Viscolinho,EM ESTOQUE,15/11/25,,"R$ 49,50","R$ 85,00","71,72%",2,,slim,branco/vermelho,Casual,
,vestido,BS-CA-TE-00-slim,Vestido Alfaiatria Marrant,EM ESTOQUE,15/11/25,,"R$ 49,50","R$ 90,00","81,82%",2,,slim,terracota/branco,Casual,
,vestido,BS-CA-BR-00-slim,Vestido de Alça com Laço em Viscolinho,EM ESTOQUE,15/11/25,,"R$ 49,50","R$ 85,00","71,72%",1,,slim,branco,Casual,
,vestido,BS-CA-VE-00-slim,Vestido Curto com Laço no Busto,EM ESTOQUE,15/11/25,,"R$ 49,50","R$ 85,00","71,72%",2,,slim,verde menta/azul jeans,Casual,
,vestido,BS-CA-BR-00-slim,Vestido Curto em Viscolinho,EM ESTOQUE,15/11/25,,"R$ 49,50","R$ 85,00","71,72%",2,,slim,branco/terracota,Casual,
,,,,,,,,,#DIV/0!,,,,,Casual,
